product,output,production,merchandise,book,factorial
rice,cereal,grain,brown rice,oryza sativa,maize
estimate,approximation,reckon,appraisal,guess,guesstimate
bathtub,bathroom,tub,shower,hot tub,bathing
urgency,importance,necessity,imperativeness,pressure,insistence
national,country,nationalist,nation,domestic,public
abuse,bullying,assault,harassment,humiliation,misuse
motif,theme,pattern,idea,design,motive
trunk,tree,body,tree trunk,luggage compartment,proboscis
inn,motel,lodge,hotel,tavern,hostel
ordinary,common,average,everyday,commonplace,usual
pleasure,delight,enjoyment,joy,happiness,suffering
lock,door,padlock,latch,bolt,key
twitch,jerk,spasm,tic,twinge,flip
unanimous,consentaneous,accordant,abstention,solid,ratification
shoot,hit,pip,inject,film,blast
arena,stadium,field,area,theater,circus
picture,photograph,image,camera,painting,film
party,fete,social,war party,cocktail party,kuomintang
knowledge,information,experience,science,cognition,epistemology
column,editorial,architecture,capital,pillar,article
director,manager,administrator,conductor,supervisor,chief
effort,attempt,try,campaign,exertion,endeavor
part,component,portion,piece,section,separate
lump,chunk,swelling,ball,clump,hunk
pack,bundle,compact,carry,pile,wad
unlike,different,dissimilar,other,several,variety
failure,breakdown,flop,loser,omission,loss
education,teaching,pedagogy,instruction,school,curriculum
amuse,entertain,disport,divert,indulge,humour
bind,attach,adhere,bond,fasten,stick
export,import,trade,commodity,importation,sales
penalty,punishment,retribution,penance,sentence,castigation
factory,assembly line,machine,manufactory,mill,industrial revolution
welfare,benefit,health,wellbeing,medicare,assistance
will,leave,volition,give,testament,bequeath
isolation,separation,quarantine,solitude,alienation,estrangement
figure,cipher,cypher,shape,form,picture
mask,disguise,cloak,cover,veil,hide
likely,kind,same,sort,love,want
lane,road,highway,alley,carriageway,path
core,center,centre,heart,kernel,pith
light,fall,illumination,ultraviolet,light up,sun
tent,shelter,camping,camp,hut,pavilion
resident,occupant,inhabitant,residence,native,denizen
jaw,mouth,mandible,bone,maxilla,skull
wardrobe,closet,costume,armoire,clothing,clothes
matrix,intercellular substance,ground substance,array,mathematics,stone
lay,be,truth,lie down,fib,rest
tread,step,walk,stride,pace,trample
white,light,chalk,caucasian,colorless,black
restrict,limit,curtail,curb,tighten,confine
replace,supplant,change,supersede,supervene upon,substitute
determine,ascertain,decide,find,specify,define
expansion,increase,extension,enlargement,growth,development
frog,toad,amphibian,tadpole,tree frog,order
disagree,dissent,differ,contradict,discord,argue
mixture,mix,concoction,blend,combine,solution
displace,move,transport,transfer,send,turn
package,packet,bundle,parcel,box,program
fail,flunk,bomb,flush it,go,break
devote,give,dedicate,consecrate,sacrifice,apply
say,tell,verbalize,utter,read,declare
health,disease,obesity,world health organization,medicine,nutrition
lead,run,leave,head,pass,galena
sequence,function,series,string,order,fibonacci sequence
promise,contract,pledge,commitment,guarantee,hope
cast,throw,form,mold,mould,shape
bang,hit,strike,clap,bump,make out
rescue,salvage,save,salvation,recovery,helicopter
highway,freeway,motorway,road,traffic,expressway
hot,warm,torrid,sultry,colloquialism,fiery
lamb,meat,mutton,cattle,goat,dear
lifestyle,life style,fashion,style,culture,life
annual,yearly,almanac,year,anniversary,monthly
final,last,ultimate,terminal,end,finish
eyebrow,brow,hair,forehead,eye,mustache
copy,imitate,facsimile,print,transcript,replicate
am,come,run,remain,consist,rest
aviation,flight,aircraft,airliner,air travel,air
series,installment,episode,string,serial,sequence
welcome,greeting,receive,invite,greet,wanted
pay,pay off,compensate,give,repay,pay up
trade,commerce,exchange,mercantilism,market,sell
tribe,clan,nation,family,social group,folk
burst,break,collapse,explosion,salvo,erupt
panic,fear,anxiety,scare,terror,fright
fog,mist,cloud,haze,drizzle,precipitation
frighten,terrify,terrorize,intimidate,terrorise,horrify
thick,dense,heavy,deep,impenetrable,thickness
mild,soft,gentle,balmy,meek,moderate
dressing,costume,dress up,attire,frock,gown
paradox,logic,contradiction,truth,dialectic,fallacy
original,first,primary,new,originative,model
coffin,casket,box,corpse,burial,cremation
dash,hyphen,smash,sprint,shoot,break
map,chart,cartography,plat,earth,represent
fox,red fox,arctic fox,kit fox,canidae,reynard
important,significant,essential,crucial,critical,great
disk,disc,saucer,diskette,floppy,platter
cheap,inexpensive,affordable,tacky,trashy,flashy
fate,doom,destiny,luck,circumstances,destine
smell,scent,aroma,reek,odor,odour
far,long,distant,remote,faraway,immoderate
die,perish,go,pass away,decease,expire
makeup,lipstick,hair,make-up,paint,composition
terrify,terrorize,frighten,terrorise,horrify,appall
archive,archivist,repository,collection,library,file away
carpet,rug,mat,cover,floor,cloth
jockey,horse,horseman,racehorse,filly,colt
tolerant,patient,resistant,liberal,forgiving,intolerant
sex,male,female,gender,sexuality,sexual intercourse
peasant,farmer,barbarian,peasantry,serfdom,agrarian
orbit,satellite,apoapsis,comet,asteroid,planet
large,massive,size,huge,vast,great
blade,sword,steel,knife,vane,weapon
back,support,posterior,endorse,rearward,rear
door,gate,threshold,doorway,hinge,entrance
title,name,appellation,designation,championship,rubric
publish,print,edit,publication,book,write
nature,universe,existence,life,phenomenon,human
lease,contract,rent,rental,sublease,charter
peak,pinnacle,crest,point,height,summit
flower,blossom,pollen,chrysanthemum,fruit,sandwort
hike,raise,walk,increase,rise,increment
excuse,defense,justify,alibi,forgive,apology
week,sunday,thursday,friday,wednesday,day
day,hour,daytime,time,daylight,morning
retire,withdraw,retreat,quit,bow out,superannuate
thread,draw,yarn,weave,guide,pass
rest,be,place,put,repose,sleep
way,path,road,route,course,means
project,plan,visualize,see,design,task
arrogant,proud,haughty,pompous,contemptuous,insolent
shoulder,infinitive,must,auxiliary verb,english conditional sentences,english subjunctive
write,pen,rewrite,scribble,cuneiform,read
hip,pelvis,ischium,pelvic girdle,coxa,articulatio coxae
orthodox,orthodoxy,religion,conformist,faith,religious belief
chair,seat,chairwoman,chairperson,chairman,bench
hit,strike,shoot,touch,smash,bang
forbid,prohibit,debar,exclude,criminalize,proscribe
sensitive,responsive,sensible,touchy,sensitivity,sensitiveness
couple,pair,mate,match,twosome,duo
force,pressure,thrust,push,move,drive
gloom,bleakness,melancholy,pessimism,semidarkness,gloomy
pill,dose,contraceptive,aspirin,medication,tablet
buffet,sideboard,sushi,breakfast,meal,restaurant
invisible,unseen,hidden,ultraviolet,obscure,inconspicuous
fun,play,merriment,sport,recreation,humor
transform,change,alter,modify,transmute,metamorphose
bishop,priest,pope,archbishop,diocese,clergy
service,work,help,utility,maintenance,assistance
irony,sarcasm,satire,figure of speech,humor,hyperbole
factor,element,divisor,cause,difference,ingredient
merit,deserve,virtue,worth,worthiness,meritorious
margin,border,edge,boundary,marginal,profit
wagon,cart,wain,station wagon,lorry,van
thin,slender,slim,tenuous,lean,cut
infection,virus,disease,epidemic,inflammation,antibiotic
incapable,incompetent,unable,capability,capable,inadequate
brush,sweep,underbrush,plastic,bristle,hair
wonder,question,wonderment,marvel,admiration,curiosity
ethics,philosophy,ethos,aesthetics,principle,morality
romantic,amatory,amorous,loving,sentimental,romance
sphere,ball,circle,globe,round shape,surface
introduce,present,acquaint,plug,bring out,usher in
Sunday,sun,saturday,week,greek language,monday
interface,computer science,graphical user interface,firmware,command line interface,user interface
census,count,population,number,enumeration,numeration
fence,wall,barrier,contend,palisade,surround
disaster,catastrophe,calamity,tragedy,tsunami,famine
banner,flag,headline,symbol,emblem,streamer
dialect,language,accent,idiom,patois,pidgin
texture,grain,smoothness,coarse,feel,surface
weigh,measure,matter,count,press,consider
addition,subtraction,summation,plus,multiplication,division
mist,fog,cloud,spray,haze,befog
overview,summary,guide,review,synopsis,outline
row,quarrel,squabble,line,dispute,tiff
Venus,carbon dioxide,venus,atmosphere,sun,earth
chicken,egg,capon,rooster,poultry,meat
impact,affect,influence,effect,impingement,result
survey,study,examine,canvass,poll,analyze
progress,build,build up,develop,move,development
mass,rest mass,bulk,weight,kilogram,acceleration
